policy,rationale,threshold,precision,recall,f1,false_positive_rate,specificity,flagged_rate,cost,normalized_cost,tp,fp,tn,fn
cost_optimized,Minimizes expected business cost under the configured false-positive and false-negative costs.,0.35,0.4807692307692308,0.974025974025974,0.6437768240343347,0.13001605136436598,0.869983948635634,0.22285714285714286,101.0,0.1442857142857143,75,81,542,2
balanced_f1,Maximizes F1 to balance precision and recall.,0.6,0.7111111111111111,0.8311688311688312,0.7664670658682636,0.04173354735152488,0.9582664526484751,0.12857142857142856,156.0,0.22285714285714286,64,26,597,13
high_recall,Maintains recall of at least 95% while minimizing cost.,0.35,0.4807692307692308,0.974025974025974,0.6437768240343347,0.13001605136436598,0.869983948635634,0.22285714285714286,101.0,0.1442857142857143,75,81,542,2
high_precision,Maintains precision of at least 70% while preserving as much recall as possible.,0.6,0.7111111111111111,0.8311688311688312,0.7664670658682636,0.04173354735152488,0.9582664526484751,0.12857142857142856,156.0,0.22285714285714286,64,26,597,13
review_capacity,Keeps the flagged/review rate at or below 10%.,0.7,0.7692307692307693,0.6493506493506493,0.7042253521126761,0.024077046548956663,0.9759229534510433,0.09285714285714286,285.0,0.40714285714285714,50,15,608,27
